HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0013183	OG0011738	n0			XP_045035464.1		XP_046464391.1, XP_046454262.1, XP_046454201.1	XP_046643760.1	
N0.HOG0013184	OG0011739	n0			XP_045036925.1				KAI9565091.1, KAI9558478.1, KAI9562403.1, KAI9550691.1
N0.HOG0013185	OG0011740	n0				Daphnia00097-RA	XP_046459363.1	XP_046646038.1, XP_046646036.1, XP_046646037.1	
N0.HOG0013186	OG0011741	n0				Daphnia00512-RB	XP_046456945.1	XP_046638046.1, XP_046638047.1, XP_046638045.1	
N0.HOG0013187	OG0011742	n0				Daphnia00534-RA	XP_046459258.1, XP_046459257.1	XP_046637964.1, XP_046637965.1	
N0.HOG0013188	OG0011743	n0				Daphnia05790-RB, Daphnia00826-RA	XP_046439906.1	XP_046637932.1, XP_046637264.1	
N0.HOG0013189	OG0011744	n0				Daphnia00899-RA	XP_046457542.1, XP_046457543.1	XP_046648254.1, XP_046648253.1	
N0.HOG0013190	OG0011745	n0				Daphnia00959-RA, Daphnia00968-RA	XP_046457668.1, XP_046457669.1	XP_046648436.1	
N0.HOG0013191	OG0011746	n0				Daphnia01120-RA, Daphnia01071-RA	XP_046457918.1, XP_046457917.1	XP_046646881.1	
N0.HOG0013192	OG0011747	n0				Daphnia01118-RA	XP_046459236.1, XP_046459872.1	XP_046647692.1, XP_046647193.1	
N0.HOG0013193	OG0011748	n0				Daphnia01648-RA	XP_046458192.1	XP_046647955.1, XP_046647954.1	KAI9558600.1
N0.HOG0013194	OG0011749	n0				Daphnia01750-RA, Daphnia01769-RB, Daphnia04881-RA	XP_046450758.1	XP_046637366.1	
N0.HOG0013195	OG0011750	n0				Daphnia01899-RA, Daphnia02009-RA, Daphnia02747-RA, Daphnia02008-RA	XP_046452807.1		
N0.HOG0013196	OG0011751	n0				Daphnia02243-RA, Daphnia02116-RA, Daphnia02144-RA	XP_046453129.1	XP_046639743.1	
N0.HOG0013197	OG0011752	n0				Daphnia03968-RA	XP_046462588.1, XP_046461580.1	XP_046651757.1, XP_046651758.1	
N0.HOG0013198	OG0011753	n0				Daphnia04079-RA	XP_046460662.1, XP_046445940.1	XP_046652050.1, XP_046652051.1	
N0.HOG0013199	OG0011754	n0				Daphnia05232-RA, Daphnia05182-RA	XP_046448223.1, XP_046455165.1	XP_046641147.1	
N0.HOG0013200	OG0011755	n0				Daphnia05383-RA, Daphnia05385-RA	XP_046450323.1	XP_046640878.1, XP_046640887.1	
N0.HOG0013201	OG0011756	n0				Daphnia05744-RA, Daphnia05731-RA	XP_046438635.1	XP_046639884.1, XP_046639885.1	
N0.HOG0013202	OG0011757	n0				Daphnia05901-RA, Daphnia05937-RA, Daphnia05778-RA, Daphnia05940-RA	XP_046439516.1		
N0.HOG0013203	OG0011758	n0				Daphnia05988-RA	XP_046439458.1	XP_046636083.1, XP_046636092.1, XP_046636058.1	
N0.HOG0013204	OG0011759	n0				Daphnia06768-RA		XP_046641542.1, XP_046641556.1, XP_046641659.1, XP_046641537.1	
N0.HOG0013205	OG0011760	n0				Daphnia07766-RA, Daphnia06873-RB	XP_046452633.1, XP_046452632.1		KAI9561352.1
N0.HOG0013206	OG0011761	n0				Daphnia06974-RA	XP_046454728.1, XP_046454698.1	XP_046657097.1	KAI9559657.1
N0.HOG0013207	OG0011762	n0				Daphnia07106-RA	XP_046454216.1, XP_046454671.1	XP_046656565.1, XP_046656566.1	
N0.HOG0013208	OG0011763	n0				Daphnia07591-RA	XP_046453991.1, XP_046453786.1	XP_046657374.1, XP_046657375.1	
N0.HOG0013209	OG0011764	n0				Daphnia08037-RA	XP_046443545.1, XP_046444136.1	XP_046632968.1, XP_046632967.1	
N0.HOG0013210	OG0011765	n0				Daphnia08167-RA	XP_046445270.1	XP_046649076.1, XP_046643331.1, XP_046643332.1	
N0.HOG0013211	OG0011766	n0				Daphnia08297-RB	XP_046444812.1, XP_046444817.1, XP_046444814.1, XP_046444816.1		
N0.HOG0013212	OG0011767	n0				Daphnia09075-RA, Daphnia08983-RA, Daphnia08939-RA	XP_046443997.1, XP_046443996.1		
N0.HOG0013213	OG0011768	n0				Daphnia08974-RA	XP_046443235.1, XP_046443236.1, XP_046443233.1	XP_046633137.1	
N0.HOG0013214	OG0011769	n0				Daphnia09033-RB	XP_046443145.1, XP_046443640.1	XP_046632780.1, XP_046633099.1	
N0.HOG0013215	OG0011770	n0				Daphnia09214-RC		XP_046654389.1, XP_046654387.1, XP_046654388.1, XP_046654390.1	
N0.HOG0013216	OG0011771	n0				Daphnia13036-RA, Daphnia12223-RA, Daphnia09280-RA	XP_046462075.1	XP_046653309.1	
N0.HOG0013217	OG0011772	n0				Daphnia09434-RB	XP_046463287.1, XP_046463288.1	XP_046657966.1, XP_046657967.1	
N0.HOG0013218	OG0011773	n0				Daphnia09674-RA, Daphnia09673-RA	XP_046462367.1	XP_046652759.1, XP_046642844.1	
N0.HOG0013219	OG0011774	n0				Daphnia11123-RA	XP_046452685.1	XP_046650122.1, XP_046650117.1, XP_046650123.1	
N0.HOG0013220	OG0011775	n0				Daphnia12027-RA	XP_046456142.1	XP_046653772.1, XP_046653773.1, XP_046653774.1	
N0.HOG0013221	OG0011776	n0				Daphnia12840-RA		XP_046640141.1, XP_046640140.1, XP_046640142.1, XP_046640139.1	
N0.HOG0013222	OG0011777	n0				Daphnia12970-RA	XP_046461026.1, XP_046460990.1, XP_046460989.1	XP_046651423.1	
N0.HOG0013223	OG0011778	n0				Daphnia13357-RH	XP_046461473.1, XP_046461469.1	XP_046634233.1, XP_046634169.1	
N0.HOG0013224	OG0011779	n0					XP_046461956.1, XP_046463240.1, XP_046437912.1	XP_046650783.1, XP_046650784.1	
N0.HOG0013225	OG0011780	n0					XP_046439792.1, XP_046439791.1	XP_046635763.1, XP_046635829.1, XP_046635869.1	
N0.HOG0013226	OG0011781	n0					XP_046441405.1, XP_046441404.1	XP_046636359.1, XP_046644421.1, XP_046648121.1	
N0.HOG0013227	OG0011782	n0					XP_046450745.1, XP_046441426.1, XP_046441428.1, XP_046441427.1, XP_046441429.1		
N0.HOG0013228	OG0011783	n0					XP_046442765.1, XP_046442766.1, XP_046448206.1, XP_046461672.1, XP_046446000.1		
N0.HOG0013229	OG0011784	n0					XP_046458133.1, XP_046443837.1, XP_046453779.1, XP_046443403.1	XP_046642915.1	
N0.HOG0013230	OG0011785	n0					XP_046458233.1, XP_046443530.1	XP_046637847.1, XP_046647937.1, XP_046658049.1	
N0.HOG0013231	OG0011786	n0					XP_046445375.1, XP_046445371.1, XP_046445372.1, XP_046445374.1	XP_046632151.1	
N0.HOG0013232	OG0011787	n0					XP_046446940.1, XP_046446941.1	XP_046651002.1, XP_046643426.1, XP_046640185.1	
N0.HOG0013233	OG0011788	n0					XP_046452578.1, XP_046448843.1	XP_046654377.1, XP_046641600.1, XP_046640433.1	
N0.HOG0013234	OG0011789	n0					XP_046449209.1, XP_046449207.1	XP_046641263.1, XP_046642700.1, XP_046640815.1	
N0.HOG0013235	OG0011790	n0					XP_046451355.1	XP_046640333.1, XP_046640335.1, XP_046640334.1, XP_046638729.1	
N0.HOG0013236	OG0011791	n0					XP_046455085.1, XP_046456149.1, XP_046451501.1, XP_046452797.1	XP_046632195.1	
N0.HOG0013237	OG0011792	n0					XP_046451600.1, XP_046458268.1	XP_046640275.1, XP_046650974.1, XP_046640274.1	
N0.HOG0013238	OG0011793	n0					XP_046455321.1, XP_046455225.1, XP_046455224.1, XP_046455226.1	XP_046656572.1	
N0.HOG0013239	OG0011794	n0					XP_046457162.1, XP_046457161.1, XP_046459305.1	XP_046646447.1, XP_046645737.1	
N0.HOG0013240	OG0011795	n0					XP_046460449.1, XP_046462967.1, XP_046459535.1	XP_046652049.1, XP_046651950.1	
N0.HOG0013241	OG0011796	n0					XP_046460424.1	XP_046638751.1, XP_046638752.1, XP_046638766.1, XP_046638768.1	
N0.HOG0013242	OG0011797	n0					XP_046462571.1, XP_046462570.1, XP_046463171.1	XP_046656605.1, XP_046656597.1	
N0.HOG0013243	OG0011798	n0					XP_046463270.1	XP_046654734.1, XP_046654689.1, XP_046658044.1, XP_046658053.1	
N0.HOG0013244	OG0011799	n0					XP_046463343.1	XP_046631167.1, XP_046639826.1, XP_046631193.1, XP_046631181.1	
N0.HOG0013245	OG0011800	n0					XP_046463345.1	XP_046648823.1, XP_046633677.1, XP_046631460.1, XP_046633512.1	
N0.HOG0013246	OG0011801	n0						XP_046633582.1, XP_046633583.1, XP_046639102.1, XP_046633584.1, XP_046633576.1	
N0.HOG0013247	OG0011802	n0						XP_046633966.1, XP_046633967.1, XP_046643301.1, XP_046647203.1, XP_046634495.1	
N0.HOG0013248	OG0011803	n0						XP_046635267.1, XP_046639411.1, XP_046639362.1, XP_046639456.1, XP_046635258.1	
N0.HOG0013249	OG0011804	n0							KAI9549683.1, KAI9549623.1, KAI9549604.1, KAI9549581.1, KAI9549638.1
N0.HOG0013250	OG0011805	n0							KAI9550453.1, KAI9550451.1, KAI9549770.1, KAI9549773.1, KAI9549772.1
N0.HOG0013251	OG0011806	n0							KAI9553840.1, KAI9557193.1, KAI9550445.1, KAI9557312.1, KAI9565191.1
N0.HOG0013252	OG0011807	n0							KAI9562512.1, KAI9550609.1, KAI9555901.1, KAI9552210.1, KAI9555894.1
N0.HOG0013253	OG0011808	n0							KAI9559440.1, KAI9550778.1, KAI9550746.1, KAI9554946.1, KAI9550680.1
N0.HOG0013254	OG0011809	n0							KAI9550905.1, KAI9550932.1, KAI9550926.1, KAI9550941.1, KAI9550751.1
N0.HOG0013255	OG0011810	n0							KAI9550761.1, KAI9565095.1, KAI9558383.1, KAI9550990.1, KAI9553742.1
N0.HOG0013256	OG0011811	n0							KAI9551211.1, KAI9550920.1, KAI9562516.1, KAI9551200.1, KAI9565249.1
N0.HOG0013257	OG0011812	n0							KAI9551284.1, KAI9551137.1, KAI9551184.1, KAI9551121.1, KAI9551101.1
N0.HOG0013258	OG0011813	n0							KAI9553634.1, KAI9552230.1, KAI9551220.1, KAI9557221.1, KAI9551347.1
N0.HOG0013259	OG0011814	n0							KAI9553812.1, KAI9552174.1, KAI9558422.1, KAI9562489.1, KAI9563383.1
N0.HOG0013260	OG0011815	n0							KAI9559797.1, KAI9552358.1, KAI9559827.1, KAI9559709.1, KAI9559787.1
N0.HOG0013261	OG0011816	n0							KAI9557790.1, KAI9557791.1, KAI9557788.1, KAI9557764.1, KAI9557759.1
N0.HOG0013262	OG0011817	n0							KAI9565303.1, KAI9558425.1, KAI9560563.1, KAI9560561.1, KAI9560562.1
N0.HOG0013263	OG0011818	n0	XP_057364494.1		XP_045026320.1		XP_046442616.1	XP_046649772.1	
N0.HOG0013264	OG0011819	n0	XP_057364550.1		XP_032785489.2	Daphnia10573-RA			KAI9561975.1
N0.HOG0013265	OG0011820	n0	XP_057364927.1	CAH0098261.1		Daphnia10932-RA, Daphnia10931-RA			
N0.HOG0013266	OG0011821	n0	XP_057364931.1		XP_032796922.2		XP_046441007.1	XP_046645380.1	
N0.HOG0013267	OG0011822	n0	XP_057365017.1, XP_057365014.1, XP_057367918.1						KAI9563050.1
N0.HOG0013268	OG0011823	n0	XP_057365045.1		XP_045026710.1	Daphnia03390-RA			KAI9555801.1
N0.HOG0013269	OG0011824	n0	XP_057365314.1		XP_032794972.2		XP_046463076.1		KAI9559836.1
N0.HOG0013270	OG0011825	n0	XP_057365315.1				XP_046463073.1	XP_046656601.1	KAI9559837.1
N0.HOG0013271	OG0011826	n0	XP_057377006.1, XP_057365396.1		XP_032793444.2				KAI9559946.1
N0.HOG0013272	OG0011827	n0	XP_057365446.1	CAH0098402.1	XP_032794877.2			XP_046655007.1	
N0.HOG0013273	OG0011828	n0	XP_057365682.1		XP_032793729.2		XP_046463945.1	XP_046633947.1	
N0.HOG0013274	OG0011829	n0	XP_057365777.1	CAH0099992.1		Daphnia09806-RA			KAI9559565.1
N0.HOG0013275	OG0011830	n0	XP_057365896.1			Daphnia09961-RA	XP_046463692.1	XP_046655512.1	
N0.HOG0013276	OG0011831	n0	XP_057366011.1	CAH0111146.1	XP_032794531.2				KAI9550838.1
N0.HOG0013277	OG0011832	n0	XP_057366090.1	CAH0113158.1	XP_032793197.2				KAI9560082.1
N0.HOG0013278	OG0011833	n0	XP_057366095.1, XP_057366279.1		XP_045035007.1				KAI9560120.1
N0.HOG0013279	OG0011834	n0	XP_057366115.1				XP_046464196.1	XP_046655030.1	KAI9560292.1
N0.HOG0013280	OG0011835	n0	XP_057366116.1			Daphnia10027-RA	XP_046464195.1	XP_046655031.1	
N0.HOG0013281	OG0011836	n0	XP_057366286.1	CAH0100885.1		Daphnia06275-RA			KAI9557406.1
N0.HOG0013282	OG0011837	n0	XP_057366308.1	CAH0100871.1		Daphnia06285-RB			KAI9557419.1
N0.HOG0013283	OG0011838	n0	XP_057366492.1			Daphnia06775-RC	XP_046439364.1		KAI9557321.1
N0.HOG0013284	OG0011839	n0	XP_057366610.1	CAH0111498.1	XP_045031527.1				KAI9557643.1
N0.HOG0013285	OG0011840	n0	XP_057366650.1	CAH0111570.1	XP_032788389.2				KAI9557669.1
N0.HOG0013286	OG0011841	n0	XP_057366672.1		XP_032788413.2			XP_046655730.1	KAI9557685.1
N0.HOG0013287	OG0011842	n0	XP_057366706.1		XP_045031525.1		XP_046438908.1	XP_046647981.1	
N0.HOG0013288	OG0011843	n0	XP_057366797.1				XP_046440028.1	XP_046645033.1	KAI9557553.1
N0.HOG0013289	OG0011844	n0	XP_057367472.1, XP_057367002.1		XP_032789241.2				KAI9563278.1
N0.HOG0013290	OG0011845	n0	XP_057367296.1				XP_046447873.1	XP_046642181.1, XP_046642182.1	
N0.HOG0013291	OG0011846	n0	XP_057367329.1		XP_032789386.2		XP_046449496.1	XP_046637193.1	
N0.HOG0013292	OG0011847	n0	XP_057367390.1		XP_045032316.1, XP_045025066.1				KAI9562597.1
N0.HOG0013293	OG0011848	n0	XP_057367431.1	CAH0110016.1	XP_032781502.2				KAI9555859.1
N0.HOG0013294	OG0011849	n0	XP_057367434.1		XP_045031742.1		XP_046454899.1		KAI9562645.1
N0.HOG0013295	OG0011850	n0	XP_057367481.1		XP_045032773.1, XP_045032772.1				KAI9563160.1
N0.HOG0013296	OG0011851	n0	XP_057367582.1			Daphnia04921-RA	XP_046449031.1	XP_046637371.1	
N0.HOG0013297	OG0011852	n0	XP_057367771.1				XP_046449851.1	XP_046636930.1	KAI9562560.1
N0.HOG0013298	OG0011853	n0	XP_057367840.1		XP_032789661.2		XP_046449026.1	XP_046637126.1	
N0.HOG0013299	OG0011854	n0	XP_057368088.1		XP_045031852.1, XP_032789372.2				KAI9562922.1
N0.HOG0013300	OG0011855	n0	XP_057368234.1		XP_032790313.2			XP_046642584.1	KAI9562999.1
N0.HOG0013301	OG0011856	n0	XP_057368235.1		XP_032790316.1			XP_046642585.1	KAI9562998.1
N0.HOG0013302	OG0011857	n0	XP_057368274.1		XP_045023470.1, XP_045022821.1		XP_046455428.1		
N0.HOG0013303	OG0011858	n0	XP_057368327.1, XP_057368319.1		XP_045027014.1, XP_032780243.1				
N0.HOG0013304	OG0011859	n0	XP_057368402.1, XP_057368400.1	CAH0113068.1, CAH0106880.1					
N0.HOG0013305	OG0011860	n0	XP_057368421.1	CAH0106394.1	XP_032783465.2				KAI9558998.1
N0.HOG0013306	OG0011861	n0	XP_057368438.1				XP_046459050.1	XP_046638120.1	KAI9559227.1
N0.HOG0013307	OG0011862	n0	XP_057368510.1		XP_032783911.2	Daphnia00235-RA			KAI9558748.1
N0.HOG0013308	OG0011863	n0	XP_057368618.1		XP_032782595.2			XP_046638524.1	KAI9559194.1
N0.HOG0013309	OG0011864	n0	XP_057368719.1	CAH0108984.1				XP_046646338.1	KAI9559328.1
N0.HOG0013310	OG0011865	n0	XP_057368776.1		XP_045029210.1				KAI9558673.1, KAI9558671.1
N0.HOG0013311	OG0011866	n0	XP_057368853.1	CAH0101344.1	XP_032782714.2				KAI9559289.1
N0.HOG0013312	OG0011867	n0	XP_057368889.1	CAH0113521.1	XP_032783640.1				KAI9558920.1
N0.HOG0013313	OG0011868	n0	XP_057368899.1		XP_045026422.1			XP_046652422.1	KAI9555296.1
N0.HOG0013314	OG0011869	n0	XP_057368902.1		XP_032783645.1			XP_046646407.1	KAI9558914.1
N0.HOG0013315	OG0011870	n0	XP_057368934.1	CAH0113524.1		Daphnia00343-RA			KAI9558917.1
N0.HOG0013316	OG0011871	n0	XP_057368995.1, XP_057369000.1, XP_057368994.1		XP_045028693.1				
N0.HOG0013317	OG0011872	n0	XP_057369151.1						KAI9558601.1, KAI9559658.1, KAI9553854.1
N0.HOG0013318	OG0011873	n0	XP_057369190.1, XP_057369192.1, XP_057369191.1, XP_057369189.1						
N0.HOG0013319	OG0011874	n0	XP_057369194.1	CAH0099382.1	XP_045026598.1				KAI9555314.1
N0.HOG0013320	OG0011875	n0	XP_057369241.1	CAH0104268.1	XP_032781359.2				KAI9555273.1
N0.HOG0013321	OG0011876	n0	XP_057369275.1			Daphnia00358-RA	XP_046456573.1	XP_046646069.1	
N0.HOG0013322	OG0011877	n0	XP_057369277.1		XP_032783322.1	Daphnia00530-RA			KAI9559096.1
N0.HOG0013323	OG0011878	n0	XP_057369349.1				XP_046457443.1	XP_046638553.1	KAI9558812.1
N0.HOG0013324	OG0011879	n0	XP_057369486.1	CAH0113561.1	XP_032783742.2	Daphnia00312-RA			
N0.HOG0013325	OG0011880	n0	XP_057369542.1		XP_032783461.2		XP_046459386.1	XP_046645851.1	
N0.HOG0013326	OG0011881	n0	XP_057377978.1, XP_057380654.1, XP_057369629.1, XP_057377366.1						
N0.HOG0013327	OG0011882	n0	XP_057369663.1	CAH0102354.1	XP_045026187.1				KAI9564868.1
N0.HOG0013328	OG0011883	n0	XP_057369682.1						KAI9552617.1, KAI9564066.1, KAI9563991.1
N0.HOG0013329	OG0011884	n0	XP_057369722.1	CAH0113025.1	XP_032777982.2				KAI9564718.1
N0.HOG0013330	OG0011885	n0	XP_057369726.1		XP_032778042.2			XP_046644545.1	KAI9564723.1
N0.HOG0013331	OG0011886	n0	XP_057369825.1				XP_046446373.1	XP_046635156.1	KAI9565368.1
N0.HOG0013332	OG0011887	n0	XP_057369871.1, XP_057369870.1	CAH0110879.1	XP_045025303.1				
N0.HOG0013333	OG0011888	n0	XP_057369877.1		XP_032778183.2		XP_046446724.1	XP_046635663.1	
N0.HOG0013334	OG0011889	n0	XP_057369957.1	CAH0098397.1				XP_046636173.1	KAI9565899.1
N0.HOG0013335	OG0011890	n0	XP_057369981.1		XP_045028765.1, XP_045028589.1, XP_045023479.1				
N0.HOG0013336	OG0011891	n0	XP_057370069.1	CAH0100664.1		Daphnia12434-RA			KAI9564800.1
N0.HOG0013337	OG0011892	n0	XP_057370211.1			Daphnia04148-RA	XP_046447307.1	XP_046635404.1	
N0.HOG0013338	OG0011893	n0	XP_057370229.1				XP_046452013.1	XP_046649311.1	KAI9564707.1
N0.HOG0013339	OG0011894	n0	XP_057370288.1	CAH0101043.1	XP_032779063.2				KAI9564993.1
N0.HOG0013340	OG0011895	n0	XP_057370629.1, XP_057370630.1		XP_032779326.1				KAI9565894.1
N0.HOG0013341	OG0011896	n0	XP_057370693.1			Daphnia11383-RA	XP_046440312.1	XP_046643711.1	
N0.HOG0013342	OG0011897	n0	XP_057370719.1		XP_032778333.2		XP_046443580.1		KAI9564359.1
N0.HOG0013343	OG0011898	n0	XP_057370740.1	CAH0098943.1	XP_032779299.2	Daphnia11419-RB			
N0.HOG0013344	OG0011899	n0	XP_057370755.1		XP_045026021.1		XP_046447437.1	XP_046643186.1	
N0.HOG0013345	OG0011900	n0	XP_057370837.1	CAH0105027.1		Daphnia11590-RA			KAI9564549.1
N0.HOG0013346	OG0011901	n0	XP_057370895.1		XP_032778665.1		XP_046445533.1	XP_046644240.1	
N0.HOG0013347	OG0011902	n0	XP_057370929.1		XP_032778663.1		XP_046442990.1		KAI9564506.1
N0.HOG0013348	OG0011903	n0	XP_057371037.1		XP_032778369.1		XP_046447622.1	XP_046635296.1	
N0.HOG0013349	OG0011904	n0	XP_057371067.1	CAH0111753.1			XP_046452258.1	XP_046643066.1	
N0.HOG0013350	OG0011905	n0	XP_057371196.1		XP_045026068.1		XP_046438123.1		KAI9564682.1
N0.HOG0013351	OG0011906	n0	XP_057371251.1		XP_032797079.2		XP_046442032.1	XP_046643544.1	
N0.HOG0013352	OG0011907	n0	XP_057371344.1	CAH0106116.1, CAH0108572.1	XP_045025270.1				
N0.HOG0013353	OG0011908	n0	XP_057371357.1	CAH0106209.1			XP_046437882.1		KAI9564135.1
N0.HOG0013354	OG0011909	n0	XP_057371522.1		XP_032777461.2		XP_046442313.1	XP_046649177.1	
N0.HOG0013355	OG0011910	n0	XP_057371539.1				XP_046446171.1	XP_046635423.1	KAI9564438.1
N0.HOG0013356	OG0011911	n0	XP_057371682.1			Daphnia11164-RA		XP_046650481.1	KAI9564194.1
N0.HOG0013357	OG0011912	n0	XP_057376195.1, XP_057376196.1, XP_057374369.1, XP_057371751.1						
N0.HOG0013358	OG0011913	n0	XP_057371759.1	CAH0099729.1		Daphnia12649-RA			KAI9565659.1
N0.HOG0013359	OG0011914	n0	XP_057371896.1	CAH0098744.1	XP_045031364.1				KAI9561310.1
N0.HOG0013360	OG0011915	n0	XP_057372024.1			Daphnia13482-RA		XP_046633962.1	KAI9561413.1
N0.HOG0013361	OG0011916	n0	XP_057372201.1	CAH0109047.1				XP_046646414.1, XP_046646140.1	
N0.HOG0013362	OG0011917	n0	XP_057372341.1	CAH0099322.1	XP_032790669.1				KAI9560685.1
N0.HOG0013363	OG0011918	n0	XP_057372409.1, XP_057372410.1		XP_032795169.2				KAI9561012.1
N0.HOG0013364	OG0011919	n0	XP_057372847.1		XP_032799626.1	Daphnia13354-RB			KAI9561146.1
N0.HOG0013365	OG0011920	n0	XP_057372850.1	CAH0109357.1		Daphnia13352-RA		XP_046634248.1	
N0.HOG0013366	OG0011921	n0	XP_057372930.1		XP_032786977.1, XP_045031000.1				KAI9560852.1
N0.HOG0013367	OG0011922	n0	XP_057372949.1, XP_057372937.1, XP_057380326.1, XP_057380325.1						
N0.HOG0013368	OG0011923	n0	XP_057373033.1				XP_046461174.1	XP_046654010.1	KAI9560905.1
N0.HOG0013369	OG0011924	n0	XP_057373153.1, XP_057373219.1		XP_045028783.1				KAI9557769.1
N0.HOG0013370	OG0011925	n0	XP_057373230.1, XP_057373221.1		XP_045028593.1				KAI9557768.1
N0.HOG0013371	OG0011926	n0	XP_057373359.1		XP_032788058.2, XP_045031386.1		XP_046452774.1		
N0.HOG0013372	OG0011927	n0	XP_057373406.1	CAH0113690.1		Daphnia06808-RB			KAI9556648.1
N0.HOG0013373	OG0011928	n0	XP_057373413.1, XP_057373414.1		XP_045031169.1				KAI9556613.1
N0.HOG0013374	OG0011929	n0	XP_057373557.1				XP_046439737.1	XP_046637538.1	KAI9556535.1
N0.HOG0013375	OG0011930	n0	XP_057373707.1		XP_045030866.1				KAI9556750.1, KAI9552308.1
N0.HOG0013376	OG0011931	n0	XP_057373755.1		XP_032788239.2		XP_046438898.1	XP_046646473.1	
N0.HOG0013377	OG0011932	n0	XP_057373972.1	CAH0102112.1	XP_045030843.1			XP_046638401.1	
N0.HOG0013378	OG0011933	n0	XP_057374122.1		XP_032787098.2				KAI9556418.1, KAI9556439.1
N0.HOG0013379	OG0011934	n0	XP_057374368.1, XP_057374215.1, XP_057374216.1						KAI9557852.1
N0.HOG0013380	OG0011935	n0	XP_057374305.1	CAH0108812.1, CAH0108813.1		Daphnia06684-RC			
N0.HOG0013381	OG0011936	n0	XP_057374310.1	CAH0099641.1	XP_045031030.1				KAI9556761.1
N0.HOG0013382	OG0011937	n0	XP_057374346.1	CAH0100461.1	XP_032787668.1				KAI9556944.1
N0.HOG0013383	OG0011938	n0	XP_057374622.1	CAH0104914.1	XP_032785205.1	Daphnia02987-RA			
N0.HOG0013384	OG0011939	n0	XP_057374788.1, XP_057378195.1		XP_045026586.1				KAI9553441.1
N0.HOG0013385	OG0011940	n0	XP_057374929.1	CAH0106024.1		Daphnia08848-RA			KAI9551789.1
N0.HOG0013386	OG0011941	n0	XP_057374993.1, XP_057374994.1					XP_046658014.1	KAI9551857.1
N0.HOG0013387	OG0011942	n0	XP_057375068.1	CAH0113796.1	XP_032785423.2			XP_046643076.1	
N0.HOG0013388	OG0011943	n0	XP_057375146.1	CAH0107240.1		Daphnia02521-RA			KAI9554177.1
N0.HOG0013389	OG0011944	n0	XP_057375294.1		XP_045029259.1, XP_045029381.1				KAI9553891.1
N0.HOG0013390	OG0011945	n0	XP_057375324.1		XP_045029500.1		XP_046452639.1	XP_046649530.1	
N0.HOG0013391	OG0011946	n0	XP_057375357.1				XP_046452730.1	XP_046650968.1	KAI9554435.1
N0.HOG0013392	OG0011947	n0	XP_057375367.1	CAH0100249.1	XP_032785558.1				KAI9554410.1
N0.HOG0013393	OG0011948	n0	XP_057375490.1		XP_045029705.1		XP_046453405.1		KAI9554032.1
N0.HOG0013394	OG0011949	n0	XP_057375548.1	CAH0110450.1		Daphnia02855-RA			KAI9554344.1
N0.HOG0013395	OG0011950	n0	XP_057375555.1	CAH0103969.1		Daphnia02663-RA			KAI9554310.1
N0.HOG0013396	OG0011951	n0	XP_057375600.1		XP_045030137.1		XP_046453347.1	XP_046650465.1	
N0.HOG0013397	OG0011952	n0	XP_057375617.1		XP_045029786.1		XP_046452599.1	XP_046637761.1	
N0.HOG0013398	OG0011953	n0	XP_057375688.1, XP_057375735.1		XP_045029442.1				KAI9554049.1
N0.HOG0013399	OG0011954	n0	XP_057375713.1		XP_045029936.1		XP_046453388.1		KAI9554083.1
N0.HOG0013400	OG0011955	n0	XP_057376099.1		XP_032786100.1, XP_032786102.1				KAI9554651.1
N0.HOG0013401	OG0011956	n0	XP_057380684.1, XP_057380686.1, XP_057376139.1, XP_057380678.1						
N0.HOG0013402	OG0011957	n0	XP_057380703.1, XP_057380351.1, XP_057377414.1, XP_057376186.1						
N0.HOG0013403	OG0011958	n0	XP_057378806.1, XP_057378822.1, XP_057376213.1		XP_045032214.1				
N0.HOG0013404	OG0011959	n0	XP_057376597.1			Daphnia05097-RA		XP_046642675.1	KAI9563634.1
N0.HOG0013405	OG0011960	n0	XP_057376617.1		XP_032789472.2	Daphnia05104-RA			KAI9563637.1
N0.HOG0013406	OG0011961	n0	XP_057376623.1				XP_046448517.1	XP_046641395.1	KAI9563614.1
N0.HOG0013407	OG0011962	n0	XP_057376644.1				XP_046448257.1	XP_046641121.1	KAI9563504.1
N0.HOG0013408	OG0011963	n0	XP_057376706.1			Daphnia05134-RB		XP_046640736.1	KAI9563552.1
N0.HOG0013409	OG0011964	n0	XP_057376746.1				XP_046448410.1	XP_046642693.1	KAI9563579.1
N0.HOG0013410	OG0011965	n0	XP_057376785.1	CAH0110835.1	XP_045031964.1				KAI9563595.1
N0.HOG0013411	OG0011966	n0	XP_057376810.1		XP_045031957.1, XP_045032877.1				KAI9563444.1
N0.HOG0013412	OG0011967	n0	XP_057376906.1		XP_045032919.1	Daphnia05248-RA			KAI9563479.1
N0.HOG0013413	OG0011968	n0	XP_057376920.1				XP_046448569.1	XP_046640938.1	KAI9563626.1
N0.HOG0013414	OG0011969	n0	XP_057376936.1, XP_057376938.1, XP_057376937.1		XP_045031959.1				
N0.HOG0013415	OG0011970	n0	XP_057377063.1		XP_032798882.2		XP_046441908.1	XP_046637620.1	
N0.HOG0013416	OG0011971	n0	XP_057377072.1		XP_045024299.1, XP_032799257.1				KAI9561587.1
